filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40
../audio/high--_gb_1.wav,-511.3205,95.29158,31.8896,43.700928,32.64344,26.995857,2.0775647,-1.085294,13.847054,14.265453,6.1550856,0.034651995,3.1616602,1.8675442,5.5433693,-2.807836,-14.002984,-16.57423,-8.7807255,1.6626756,-1.9105119,6.094461,4.8814664,3.6429844,6.004325,-8.424216,-9.381042,-3.711902,4.8056407,8.191322,6.230913,8.719736,5.99777,5.1041527,2.8972683,2.0826106,5.5073776,7.4176016,-2.7558022,-9.535339
../audio/high--_gb_1.wav,-524.89136,88.68091,29.700466,36.471687,31.412119,29.08247,6.7437854,4.869421,18.233654,14.117554,4.167959,-0.2805472,3.2312171,1.2016293,3.9181418,-0.13131966,-8.7550535,-7.9614453,-2.089718,0.3046224,-1.3647466,7.0140147,8.945739,6.190456,3.0623658,-1.915185,-3.9156032,-3.9528065,5.1630855,5.006957,2.4926271,6.336466,7.951025,5.775333,1.0796556,5.061609,5.6161385,5.900032,0.4163546,-4.22729
../audio/high--_gb_1.wav,-537.61444,77.6653,25.300192,30.698929,22.712795,20.907997,5.095002,10.413517,22.869247,11.323885,3.1277168,2.2489386,7.387725,6.7148085,1.4240167,-3.3008592,-4.3895273,-2.3174686,2.1064162,6.777643,3.982429,4.4707966,7.2266893,5.79934,1.6711595,0.71137375,-1.3675164,-1.916825,7.7061057,7.310401,2.4219587,3.7413378,3.4380074,-2.5122523,-5.3805823,1.6871172,2.9753628,2.3266754,-0.29015684,1.1150359
../audio/high--_gb_1.wav,-546.5611,69.08299,25.37188,32.0999,17.927332,18.772444,9.351322,8.719848,13.055756,7.8714347,10.410341,9.3132305,11.9144,9.846674,1.4822145,-2.3111577,-3.1315827,-3.1195302,-0.8026804,4.3580165,8.325818,7.6156845,2.8838387,5.893536,5.5985556,1.4859154,-0.12414992,-3.3333766,4.2098055,7.549959,5.0960875,5.627537,2.010127,0.19679475,2.2845447,3.5470233,-3.3845234,-6.765107,-2.1342077,3.6500502
../audio/high--_gb_1.wav,-559.66345,59.2857,25.117487,30.639414,17.415741,20.48706,10.699583,8.564332,9.324741,9.994632,15.401597,4.6308722,4.379709,4.4426045,3.891895,3.6640353,-3.7470903,-0.74166757,0.86978966,-0.026119232,4.643378,4.489751,-1.7508187,1.2093416,5.194974,-0.93072927,-1.7546254,-0.3226804,-0.1351589,2.1880987,4.5330515,4.231207,0.73429096,-0.24410364,-0.7515427,-2.7376006,-4.5173917,-3.5424442,-1.7901273,0.5596062
../audio/high--_gb_1.wav,-569.7955,54.878975,31.352268,35.61846,17.150429,14.640312,6.578966,11.468613,12.67725,9.587709,13.814898,5.3027186,8.47589,5.7671146,2.831244,4.236045,-3.6093507,-1.098805,1.6219398,3.1335306,0.19258404,-2.9214644,0.079102874,-0.3414657,1.8232455,-0.03270811,0.37874997,2.5382252,-1.2214279,0.24347475,1.2869097,-1.7027359,-0.9994659,3.4027014,0.8967922,-1.540673,0.07538167,-4.634853,-5.2152386,-3.4006813
../audio/high--_gb_1.wav,-578.10675,50.32468,30.579424,34.34458,16.142094,12.657127,8.704035,10.596583,9.553074,8.174848,13.280058,9.549957,12.969152,10.984268,6.647081,5.659318,1.8103853,2.2705042,4.364885,7.467556,-0.523125,-5.038842,0.8192755,1.4277055,2.2506664,-0.4279214,-0.39841092,0.36121005,-4.0360813,-3.4357996,-2.639971,-3.6712623,-1.6987716,0.8545739,-1.2582374,-2.2700398,-2.3921192,-3.79953,-0.39598435,2.294993
../audio/high--_gb_1.wav,-581.0126,48.566833,28.04047,35.33337,23.085045,14.362053,9.784974,12.94019,11.65708,9.628273,10.447136,7.811621,8.049144,7.448428,6.924748,5.890958,11.207228,8.59062,4.2586637,7.808506,-0.37253785,-2.954629,-2.7045577,-3.3728156,0.6553048,2.1713428,5.1971245,2.2257798,-0.036520302,0.36407712,-1.9968144,-0.74061644,1.5969898,1.3365837,2.864895,5.064939,-0.90754735,-1.6658959,2.7646713,2.1135273
../audio/high--_gb_1.wav,-573.1599,49.376225,23.001226,31.43414,18.881088,12.902969,11.059749,16.46758,11.261265,10.102612,12.230707,6.818878,4.456994,4.8539934,11.246235,9.958126,11.057594,9.19114,5.8126607,8.733539,3.1407132,3.1136086,2.4275322,-0.4568302,2.0487168,2.6226797,6.874342,4.663233,-0.06468341,2.9122524,-2.5417333,-4.140609,3.5432913,1.7879308,4.4335814,6.875899,-4.4439383,-4.535008,3.069166,2.0117743
../audio/high--_gb_1.wav,-573.3401,46.666473,17.297705,24.007792,14.208115,16.244272,15.728835,16.96745,11.98296,10.900463,8.236686,0.8505743,1.5120187,0.6755261,7.398323,8.17672,1.8890152,-2.3252432,-2.184562,4.1591597,5.3561783,6.9848995,2.8234186,-3.5413885,1.7790443,1.6309929,-1.1565902,-2.5305152,-2.7224884,3.7382364,2.453034,1.3639818,1.5515871,-1.8644352,1.1195412,1.9236053,-2.717289,-2.9788275,1.5993265,0.44587344
../audio/high--_gb_1.wav,-570.96643,53.6568,26.0796,30.218998,17.728401,18.427526,12.986435,11.338581,8.818512,5.7089987,1.4892943,-7.388114,-3.4386349,-2.9042802,2.473188,7.47089,0.95221794,-6.2477636,-6.7451124,2.8135471,6.922977,5.8933434,-0.53800625,-4.252459,-0.7662978,0.8521292,1.3321505,-1.895055,1.7039651,2.369098,-1.2867357,0.07095289,-2.3869386,-2.218209,-0.51665336,3.8368492,3.7412205,-1.5170605,0.0677166,-1.2348659
../audio/high--_gb_1.wav,-567.623,57.985924,30.590057,32.803207,20.605305,19.520369,10.422913,12.081165,6.6371875,2.0517783,4.2855,-2.4097767,-1.726865,-4.4339232,-1.0045763,0.26844448,-2.4048164,-2.0845037,-1.1775808,8.455844,10.027117,3.7524567,-1.482007,0.6125107,0.9264943,-0.17431182,4.0002913,0.34238097,1.3553361,0.95870614,-3.0177178,-2.8778903,-1.2035438,1.6713169,0.28892207,6.450495,7.097867,-0.34871495,-1.6775374,-2.210649
../audio/high--_gb_1.wav,-566.02515,57.556107,28.593563,27.645802,11.379184,16.971447,10.067419,8.717401,6.8853836,2.6218562,5.8041677,-2.2739477,-7.0938234,-9.030466,-4.937673,-3.221343,-3.100536,-1.3817794,-2.3031945,5.5586824,8.283888,4.5493693,3.3866763,6.5659065,5.362907,1.7221506,4.965775,1.3148072,0.95775485,7.379454,6.0878844,-0.68079424,-1.7642119,-0.37555683,-1.5684566,3.7995462,3.5938435,-1.5079315,-2.8508453,-0.28253582
../audio/high--_gb_1.wav,-558.8954,67.30136,36.868744,34.48703,16.179108,19.414713,9.993113,5.6174107,3.7753873,-0.7346287,2.1771512,-3.2979522,-6.545276,-9.699409,-8.948828,-6.0462184,-0.4315088,2.0591326,0.5481409,6.438731,1.8468187,-1.2674601,3.993401,4.8700676,3.0541136,-0.17898366,-0.8414781,-1.3775908,0.91004366,4.920001,3.5324187,-2.6625724,-2.4225738,0.38019478,-1.9282357,2.1117125,3.0162911,-1.26682,-1.9395976,1.7351649
../audio/high--_gb_1.wav,-556.1039,71.82885,41.307728,40.959908,24.954292,23.757915,10.83289,5.1287804,0.12867403,-3.2166255,-0.18485379,-5.251115,-2.0172887,-5.012485,-7.783695,-6.840329,-3.7569094,3.9901257,6.8100724,7.61048,3.1546612,4.753592,6.2631426,2.5545278,1.3065821,-0.16541296,0.47042298,-3.0625796,-2.4386709,-2.4408083,-5.5081325,-2.546862,-3.7657843,-0.73507935,2.7011511,-0.75666124,-0.40022677,0.24378687,-0.040258512,0.6256895
../audio/high--_gb_1.wav,-554.5776,71.20621,40.443428,44.73166,29.83923,28.166632,14.431829,8.093037,0.057480365,-7.624545,-1.3113185,-6.154579,-3.758684,-4.351375,-8.912499,-7.5530725,-5.2926445,4.196953,7.867695,2.202018,-0.33517122,3.9346642,2.8410392,1.533997,5.170257,3.3159628,-0.15789288,-2.9284291,-3.3588781,-9.075343,-10.670283,-1.8792567,-1.9203513,1.4648721,7.119995,1.718421,-2.8494408,-2.4043312,1.074118,4.1499333
../audio/high--_gb_1.wav,-560.6637,70.12371,41.905266,44.09045,27.049976,23.013073,20.106682,14.724413,1.7765392,-8.417703,-6.256675,-2.399115,0.11684471,-6.0694895,-6.0659885,-3.3077586,-1.3352168,3.9277682,1.9562796,-3.6601193,-2.0260782,3.8745744,2.662281,5.453685,8.2763,2.7337008,-2.093208,-3.8104186,-2.3483047,-6.056756,-5.902152,1.4315293,3.3904634,-1.1849442,-0.39495206,4.8549075,-2.2090588,-2.5270119,2.6017315,1.0308923
../audio/high--_gb_1.wav,-562.9201,69.114044,37.52186,38.113388,25.895647,24.199831,19.409208,9.112545,1.2659211,-2.9784055,-3.6120224,-5.374925,-2.3064456,-4.572163,-7.6064577,-3.5110507,0.5469955,2.1974661,-1.4510692,-3.8426092,-0.39380342,3.1687016,3.12095,3.590547,5.074844,0.7973744,-1.967104,0.41496134,-2.0596638,-0.8751074,2.4390247,-2.678958,-3.0589519,-4.054454,-4.5735874,2.672195,3.1490054,3.8753371,5.5299654,2.8507767
../audio/high--_gb_1.wav,-566.5102,61.47223,32.932037,35.05011,24.245605,24.118004,10.387145,-0.3626758,-2.4370224,-0.4216987,1.5359411,-5.4311876,-4.406254,-2.194247,-4.1999063,-6.518405,-4.7271776,-4.498093,-5.269746,-0.506072,2.4873178,3.6864586,4.963567,7.8993297,3.8981495,-1.74032,-1.1420603,-2.2763174,-3.2809348,-0.11131871,4.0243444,-0.9147598,-3.0917907,-0.80468667,-1.8080714,0.094961405,2.2270947,5.1158447,2.7230697,2.8342285
