filename,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,rmse,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
high,757.8341851018297,991.5281916607775,1984.375,0.033203125,0.004629877,-569.26495,47.523987,34.76088,20.1586,9.525333,5.479683,6.5541973,8.8549,8.898821,5.6646576,0.67767787,-3.58429,-5.6001296,-5.6608095,-5.247244,-5.633813,-6.8944635,-8.025636,-7.945736,-6.4751873
high,920.8732763364083,1087.560197147091,2308.59375,0.0234375,0.00044301176,-598.5771,11.012427,10.633366,10.016166,9.181969,8.159046,6.981556,5.688097,4.32013,2.9203722,1.5311842,0.1931096,-1.0564901,-2.1845613,-3.1633496,-3.9710839,-4.592519,-5.0191817,-5.249465,-5.2884235
high,923.7323184029436,1111.339435287764,2492.1875,0.009765625,0.000116804666,-606.4544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle,2570.2378491343698,1165.6867399477544,3851.5625,0.3125,0.001575124,-578.14825,-42.666695,13.850743,11.31632,-1.7092369,-20.875278,15.117437,-13.776406,-14.439598,-21.788559,5.220894,-9.847112,-13.155552,-4.3677597,1.9234972,-7.812089,-9.766449,-12.112837,-10.0620575,-2.0507267
circle,2550.965433892365,1070.7822955448846,3789.0625,0.44482421875,0.0033918186,-456.20743,-61.065144,-7.2993846,-12.891719,-27.77655,-26.862804,-1.3606532,-15.361992,-10.296597,-6.4793167,14.943481,-1.6153698,-6.099016,-4.7858987,-10.86447,-19.250221,-3.7692988,-9.34913,1.4223015,0.8612807
circle,1482.9697149208164,1289.3783286197017,3324.21875,0.482421875,0.04612817,-271.98145,36.058388,25.283808,-6.8915195,-35.412888,-41.41296,-19.980202,-15.083962,-4.428463,-14.037603,4.266425,-15.71867,-11.050232,-8.159679,-18.17404,-24.6408,-13.114706,-14.546392,0.32005608,-6.9871807
circle,946.0034934712169,919.6777363955379,2167.96875,0.3701171875,0.054724105,-126.19715,80.144936,9.793982,3.351378,-37.759285,-36.04711,-32.46485,-5.915848,12.235224,-20.1279,5.565503,-2.826729,-21.642445,0.18186516,-14.621275,-19.469917,-13.287182,-14.0875225,4.3314543,-8.505095
circle,853.4625328026309,813.4985124069029,1863.28125,0.25732421875,0.05502726,-98.19272,94.449104,3.355217,14.796301,-39.394474,-29.345596,-33.17467,-0.40552533,13.751134,-14.094908,8.464222,1.3722861,-23.725546,3.0900817,-12.426624,-15.680271,-13.239239,-13.396137,2.140239,-6.951835
circle,869.7973569454475,864.8622942381483,1835.9375,0.2177734375,0.05504963,-155.3425,91.58342,5.1366267,8.950546,-21.656229,-23.447025,-27.108913,-0.3290562,14.700415,-3.3889647,11.891058,0.47250152,-15.783115,4.9306517,-8.316857,-13.906003,-10.291544,-8.93689,0.7442124,-1.46059
circle,1367.5158155574395,1157.0679315546836,2964.84375,0.20263671875,0.031138374,-221.80908,57.02928,4.9197807,-16.943867,6.1842155,-5.3525105,-8.209276,1.4470718,0.13298309,14.214942,3.7299213,-6.072479,-1.6227157,7.9011793,-3.5385327,-13.67197,-12.1543865,-0.86501,1.5154017,-2.386586
circle,996.9129591395101,1080.5336712570438,2550.78125,0.21435546875,0.010620186,-276.38464,88.45795,37.42903,-31.642036,-15.516624,-7.5479994,-6.830953,-0.120824136,-0.8264383,8.535538,5.370303,-1.5051768,-2.3564925,11.822222,-9.089668,-19.182068,-17.723389,-6.2132854,-3.6453838,-9.73211
circle,698.8721480167328,837.7315289252878,820.3125,0.19091796875,0.008865287,-357.0857,128.24893,64.16725,-43.44036,-34.94866,-7.105905,1.9984663,1.3274031,1.3881611,-9.421675,11.844726,0.019544333,0.76072186,10.318186,-13.528711,-9.123894,-24.323555,-3.5520408,-3.914939,-1.4050857
circle,855.083812660192,1001.2889279830487,2132.8125,0.09814453125,0.00816934,-427.37177,107.88424,68.06318,-44.56127,-34.09915,-7.5080333,-7.436484,9.896162,1.0010492,-8.37782,10.347945,-6.2679377,-5.9045115,14.740453,-5.4321213,-6.933139,-24.061226,0.09335667,1.0869503,14.479213
international,1376.9233835716655,1169.303098953776,2949.21875,0.11865234375,0.0666834,-206.7295,56.538536,55.06842,-67.4798,-63.561443,12.274338,-44.336086,6.498544,-24.03324,-6.9809394,-13.930684,-4.0195484,-32.099922,-9.869396,-15.655656,4.2858343,-5.7913594,5.458333,-8.926115,-1.4874187
international,1307.697164914112,1123.6644401353735,2863.28125,0.1669921875,0.060255237,-154.89615,53.30343,51.992348,-52.99775,-72.17846,17.82993,-46.477287,-1.7379761,-21.825268,-8.73154,-15.181211,-4.942054,-36.21125,-4.921418,-17.741257,4.1339226,-4.672292,0.41625416,-7.631325,-0.16303906
international,1294.305757519858,1049.6848258104835,2566.40625,0.2119140625,0.06617319,-158.21649,45.103355,42.23639,-17.5632,-87.06862,21.378246,-37.88655,-21.026325,-14.461165,-3.8109407,-25.92815,1.9044648,-34.848824,-6.5958514,-12.732285,-1.4163809,-5.6900897,2.0763035,-9.055646,2.0851514
international,1255.8155503646276,924.8521724526069,2277.34375,0.1484375,0.0672521,-198.35947,45.841873,13.115946,9.959496,-87.46313,19.109085,-18.320103,-33.6811,-1.3131521,-3.455295,-23.037682,2.3272648,-25.830566,-6.8700094,-13.479816,-9.334099,-6.06649,2.1087089,-9.553105,5.35194
international,1029.0976672730167,840.9090100702064,2132.8125,0.16259765625,0.058785684,-217.521,73.16438,-3.5493724,-1.418866,-86.21448,21.634119,-8.58967,-29.380247,0.23280394,-0.80476886,-25.09842,-0.27204344,-26.709381,-5.306032,-8.985471,-4.9675217,-5.6469502,-5.5700455,-13.927836,3.348121
international,1008.3454456749212,844.2516465447046,2148.4375,0.15478515625,0.054659665,-176.96356,74.01138,-3.1570573,-39.467762,-79.03052,28.15453,-17.775227,-22.711891,-1.5428734,-1.488585,-24.29454,-1.2970774,-22.373566,-7.0553937,0.037564278,-7.2207127,2.491129,-10.842252,-17.965088,-0.47616223
international,1118.7867352082073,869.9844651834917,2179.6875,0.1650390625,0.048332065,-158.53831,56.36328,-17.008205,-36.931767,-71.79538,23.657711,-14.337146,-18.742373,-5.2411346,1.3801944,-27.511084,4.072019,-19.59705,-7.0446424,1.999561,-10.305674,0.77389586,-6.3439837,-12.836933,-3.3759947
